tree_head,effect_logit,effect_OR
D01.248,-0.2332151914647426,0.7919831271764836
C09,-0.21219625188182203,0.808805952299813
D10.251,-0.21018456363663435,0.8104346553988669
C11,-0.2045718740245664,0.8149961627581503
D26.310,-0.2015467461492556,0.8174653633090366
E02.319,-0.19406653837888488,0.823603101230144
C23.300,-0.19307654378034705,0.8244188675872174
D01.857,-0.19262606717084435,0.8247903326653809
D09.698,-0.19003716081257674,0.8269284040409548
C16.614,-0.18496368815558564,0.8311344633295059
C23,-0.18217825455823802,0.8334527604199771
C01.703,-0.17608558301725652,0.8385462149508558
E07,-0.17346601153548333,0.8407457263325524
C07,-0.1671118217191699,0.8461049931321714
C19.874,-0.1644904972968438,0.8483258182944681
F03.675,-0.15898184103192792,0.8530118486434175
E04.665,-0.15038336160377988,0.8603780772742035
D02.675,-0.14860941980035308,0.8619056924618521
C11.525,-0.14365821069478182,0.8661837498132464
N02.421,-0.14197681143217572,0.8676413756135318
D10,-0.1373580847238224,0.8716580428118783
D27.505,-0.13497656487097495,0.8737363875730827
D10.570,-0.13303101239601864,0.8754379422596272
D23,-0.13132833900514546,0.8769297968594194
G11.427,-0.13116472634572574,0.8770732854135598
C19,-0.12728589671956644,0.8804819097201549
D27.720,-0.12465824262959821,0.8827985539482628
E07.877,-0.12411690568555908,0.8832765747931576
D23.469,-0.12404483435984083,0.883340236000925
D23.946,-0.12366667331392804,0.8836743440378086
D08.211,-0.12082590356206907,0.8861882283775598
C02.825,-0.11592076429566293,0.890545783524393
F03.835,-0.11173274888262491,0.8942832237577344
C12.706,-0.11117251706490473,0.8947843700396756
E01,-0.10724036868711875,0.8983097215089731
C11.187,-0.10690291368968517,0.8986129117673963
C08.730,-0.10578418761405868,0.8996187760020518
G08.686,-0.1028067429536282,0.9023013327233972
D01.339,-0.10263799161753631,0.9024536101269981
D02.478,-0.10190065872788326,0.9031192642293048
C09.218,-0.10171476488639912,0.9032871641439473
C04.834,-0.09840715374387542,0.9062798333976642
C09.775,-0.09835153291729858,0.9063302428330019
D06.472,-0.09787107154873022,0.9067658041286576
C12,-0.0965639188854194,0.9079518604739995
D13,-0.09506604681845368,0.9093128752625035
E02.095,-0.09204547514713748,0.9120636723723073
D02.355,-0.08818264316090323,0.9155936345354552
G07.203,-0.0876146750708764,0.9161138102109119
E02.800,-0.08744549781309752,0.9162688089438974
D23.119,-0.08493566584670138,0.9185713780124171
I01.880,-0.08459063979657654,0.918888363747754
C18.654,-0.08434578355662183,0.9191133868454698
D02.389,-0.08211039421243814,0.9211702612175369
D01.650,-0.08211039421243814,0.9211702612175369
D08,-0.08004411312697757,0.9230756257361967
E04.928,-0.07763167553931508,0.9253051763164846
G07.345,-0.07669874241354806,0.9261688269684242
D23.050,-0.07603335002659742,0.9267852977296506
C26.404,-0.07244489935040875,0.9301169952989857
N05.300,-0.07132006888664195,0.9311638078631235
